,Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
9771,12798,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-153,1,EquationAnswer,45:17.0,45:25.0,45:25.0,45:25.0,8,8,,1,0,0,1,Calculate part in proportion with fractions,4
12140,16090,6zkEsmR,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,28:44.0,29:19.0,,29:28.0,44,,44,0,2,0,0,Calculate part in proportion with fractions,1
12143,16093,6zkEsmR,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,2,EquationAnswer,05:45.0,06:12.0,06:12.0,06:12.0,27,27,,1,0,0,1,Calculate part in proportion with fractions,2
12158,16108,6zkEsmR,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-179,1,EquationAnswer,09:00.0,09:06.0,09:06.0,09:06.0,6,6,,1,0,0,1,Calculate part in proportion with fractions,3
12183,16133,6zkEsmR,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-036,1,EquationAnswer,12:38.0,12:40.0,12:40.0,12:40.0,2,2,,1,0,0,1,Calculate part in proportion with fractions,4
12207,16157,6zkEsmR,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-152,1,EquationAnswer,16:04.0,16:12.0,18:11.0,18:11.0,127,,127,0,1,0,1,Calculate part in proportion with fractions,5
12231,16181,6zkEsmR,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-055,1,EquationAnswer,20:28.0,20:40.0,20:40.0,20:40.0,12,12,,1,0,0,1,Calculate part in proportion with fractions,6
12255,16205,6zkEsmR,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-134,1,EquationAnswer,22:23.0,22:25.0,22:25.0,22:25.0,2,2,,1,0,0,1,Calculate part in proportion with fractions,7
12280,16230,6zkEsmR,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-181,1,EquationAnswer,23:56.0,24:35.0,24:47.0,24:47.0,47,,47,0,1,1,1,Calculate part in proportion with fractions,8
12292,16242,6zkEsmR,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-200,1,EquationAnswer,25:32.0,25:36.0,25:36.0,25:36.0,4,4,,1,0,0,1,Calculate part in proportion with fractions,9
12329,16279,6zkEsmR,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-042,1,EquationAnswer,28:17.0,28:21.0,28:21.0,28:21.0,4,4,,1,0,0,1,Calculate part in proportion with fractions,10
14754,19288,8EWewH7,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,11:28.0,11:38.0,11:42.0,11:42.0,14,,14,0,1,0,1,Calculate part in proportion with fractions,1
14767,19301,8EWewH7,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-162,1,EquationAnswer,14:27.0,14:40.0,14:40.0,14:40.0,13,13,,1,0,0,1,Calculate part in proportion with fractions,2
14792,19326,8EWewH7,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-099,1,EquationAnswer,18:52.0,19:00.0,19:16.0,19:16.0,24,,24,0,2,0,1,Calculate part in proportion with fractions,3
14816,19350,8EWewH7,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-012,1,EquationAnswer,21:14.0,21:23.0,21:23.0,21:23.0,9,9,,1,0,0,1,Calculate part in proportion with fractions,4
14827,19361,8EWewH7,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-032,1,EquationAnswer,22:04.0,22:06.0,22:06.0,22:06.0,2,2,,1,0,0,1,Calculate part in proportion with fractions,5
14877,19411,8EWewH7,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-014,1,EquationAnswer,26:12.0,26:21.0,26:21.0,26:21.0,4.5,4.5,,1,0,0,1,Calculate part in proportion with fractions,6
14914,19448,8EWewH7,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-151,1,EquationAnswer,29:21.0,29:26.0,29:26.0,29:26.0,5,5,,1,0,0,1,Calculate part in proportion with fractions,7
19224,25575,JJGL4Ig,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,19:32.0,19:43.0,19:43.0,19:43.0,11,11,,1,0,0,1,Calculate part in proportion with fractions,1
19278,25629,JJGL4Ig,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-047,1,EquationAnswer,14:13.0,14:19.0,14:19.0,14:19.0,6,6,,1,0,0,1,Calculate part in proportion with fractions,2
19291,25642,JJGL4Ig,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-029,1,EquationAnswer,16:07.0,16:11.0,16:18.0,16:18.0,11,,11,0,1,0,1,Calculate part in proportion with fractions,3
22373,30472,S2M2j2W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,24:52.0,24:56.0,42:26.0,42:26.0,200,,200,0,11,1,1,Calculate part in proportion with fractions,1
22386,30485,S2M2j2W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-168,1,EquationAnswer,50:16.0,50:22.0,,53:03.0,137,,137,0,6,2,0,Calculate part in proportion with fractions,2
22389,30488,S2M2j2W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-168,2,EquationAnswer,,09:14.0,10:12.0,10:12.0,,,,0,2,0,1,Calculate part in proportion with fractions,3
22442,30541,S2M2j2W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-101,1,EquationAnswer,14:39.0,14:59.0,16:39.0,16:39.0,104,,104,0,4,1,1,Calculate part in proportion with fractions,4
22455,30554,S2M2j2W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-135,1,EquationAnswer,18:24.0,18:27.0,19:07.0,19:07.0,18,,18,0,3,1,1,Calculate part in proportion with fractions,5
22468,30567,S2M2j2W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-042,1,EquationAnswer,25:26.0,25:43.0,25:43.0,25:43.0,17,17,,1,0,0,1,Calculate part in proportion with fractions,6
22493,30592,S2M2j2W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-034,1,EquationAnswer,21:14.0,21:15.0,25:07.0,25:07.0,82.5,,82.5,0,5,1,1,Calculate part in proportion with fractions,7
22545,30644,S2M2j2W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-165,1,EquationAnswer,42:16.0,42:20.0,42:29.0,42:29.0,7,,7,0,0,1,1,Calculate part in proportion with fractions,8
22571,30670,S2M2j2W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-110,1,EquationAnswer,45:07.0,45:09.0,45:23.0,45:23.0,10,,10,0,1,1,1,Calculate part in proportion with fractions,9
24490,33264,vL4lMaM,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,05:20.0,05:24.0,05:24.0,05:24.0,4,4,,1,0,0,1,Calculate part in proportion with fractions,1
24529,33303,vL4lMaM,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-150,1,EquationAnswer,16:35.0,16:40.0,17:43.0,17:43.0,43,,43,0,4,1,1,Calculate part in proportion with fractions,2
24557,33331,vL4lMaM,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-088,1,EquationAnswer,21:43.0,21:47.0,21:47.0,21:47.0,4,4,,1,0,0,1,Calculate part in proportion with fractions,3
24570,33344,vL4lMaM,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-064,1,EquationAnswer,23:47.0,23:54.0,23:54.0,23:54.0,7,7,,1,0,0,1,Calculate part in proportion with fractions,4
24620,33394,vL4lMaM,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-168,1,EquationAnswer,39:33.0,39:36.0,47:11.0,47:11.0,344,,344,0,12,4,1,Calculate part in proportion with fractions,5
24649,33423,vL4lMaM,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-044,1,EquationAnswer,20:53.0,20:56.0,20:56.0,20:56.0,3,3,,1,0,0,1,Calculate part in proportion with fractions,6
24688,33462,vL4lMaM,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-123,1,EquationAnswer,26:46.0,26:58.0,28:11.0,28:11.0,14,,14,0,1,0,1,Calculate part in proportion with fractions,7
27275,36712,Y6120Vs,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,24:28.0,24:31.0,24:31.0,24:31.0,3,3,,1,0,0,1,Calculate part in proportion with fractions,1
27300,36737,Y6120Vs,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-011,1,EquationAnswer,29:31.0,29:33.0,29:33.0,29:33.0,2,2,,1,0,0,1,Calculate part in proportion with fractions,2
27313,36750,Y6120Vs,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-123,1,EquationAnswer,04:25.0,04:29.0,04:29.0,04:29.0,4,4,,1,0,0,1,Calculate part in proportion with fractions,3
27338,36775,Y6120Vs,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-007,1,EquationAnswer,11:56.0,12:09.0,12:09.0,12:09.0,13,13,,1,0,0,1,Calculate part in proportion with fractions,4
27384,36821,Y6120Vs,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-035,1,EquationAnswer,21:03.0,21:09.0,21:09.0,21:09.0,6,6,,1,0,0,1,Calculate part in proportion with fractions,5
27412,36849,Y6120Vs,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-092,1,EquationAnswer,23:37.0,24:05.0,24:05.0,24:05.0,28,28,,1,0,0,1,Calculate part in proportion with fractions,6
27420,36857,Y6120Vs,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-134,1,EquationAnswer,27:21.0,27:42.0,27:42.0,27:42.0,21,21,,1,0,0,1,Calculate part in proportion with fractions,7
27448,36885,Y6120Vs,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-034,1,EquationAnswer,31:23.0,31:32.0,31:32.0,31:32.0,9,9,,1,0,0,1,Calculate part in proportion with fractions,8
30972,41328,ZBj33oo,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,36:42.0,36:46.0,36:59.0,36:59.0,11,,11,0,1,1,1,Calculate part in proportion with fractions,1
30985,41341,ZBj33oo,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-048,1,EquationAnswer,40:22.0,40:28.0,40:28.0,40:28.0,6,6,,1,0,0,1,Calculate part in proportion with fractions,2
31011,41367,ZBj33oo,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-082,1,EquationAnswer,43:17.0,43:19.0,43:19.0,43:19.0,2,2,,1,0,0,1,Calculate part in proportion with fractions,3
31048,41404,ZBj33oo,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-174,1,EquationAnswer,47:01.0,47:12.0,47:12.0,47:12.0,11,11,,1,0,0,1,Calculate part in proportion with fractions,4
31060,41416,ZBj33oo,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-179,1,EquationAnswer,48:05.0,48:09.0,48:09.0,48:09.0,4,4,,1,0,0,1,Calculate part in proportion with fractions,5
31084,41440,ZBj33oo,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-040,1,EquationAnswer,49:32.0,49:36.0,49:36.0,49:36.0,4,4,,1,0,0,1,Calculate part in proportion with fractions,6
31120,41476,ZBj33oo,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-193,1,EquationAnswer,52:00.0,52:03.0,52:03.0,52:03.0,3,3,,1,0,0,1,Calculate part in proportion with fractions,7
31132,41488,ZBj33oo,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-135,1,EquationAnswer,52:50.0,52:53.0,52:53.0,52:53.0,3,3,,1,0,0,1,Calculate part in proportion with fractions,8
31144,41500,ZBj33oo,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-115,1,EquationAnswer,53:40.0,53:42.0,53:42.0,53:42.0,2,2,,1,0,0,1,Calculate part in proportion with fractions,9
34998,46643,1T4w47X,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,33:32.0,33:34.0,33:34.0,33:34.0,2,2,,1,0,0,1,Calculate part in proportion with fractions,1
35035,46680,1T4w47X,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-188,1,EquationAnswer,39:46.0,39:49.0,39:49.0,39:49.0,3,3,,1,0,0,1,Calculate part in proportion with fractions,2
35059,46704,1T4w47X,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-004,1,EquationAnswer,42:02.0,42:10.0,42:10.0,42:10.0,8,8,,1,0,0,1,Calculate part in proportion with fractions,3
35083,46728,1T4w47X,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-083,1,EquationAnswer,43:39.0,43:41.0,43:41.0,43:41.0,2,2,,1,0,0,1,Calculate part in proportion with fractions,4
35107,46752,1T4w47X,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-179,1,EquationAnswer,45:40.0,45:42.0,45:42.0,45:42.0,2,2,,1,0,0,1,Calculate part in proportion with fractions,5
35117,46762,1T4w47X,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-082,1,EquationAnswer,46:19.0,46:31.0,46:31.0,46:31.0,12,12,,1,0,0,1,Calculate part in proportion with fractions,6
35131,46776,1T4w47X,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-126,1,EquationAnswer,47:23.0,47:26.0,47:26.0,47:26.0,3,3,,1,0,0,1,Calculate part in proportion with fractions,7
35143,46788,1T4w47X,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-027,1,EquationAnswer,48:32.0,48:37.0,48:37.0,48:37.0,5,5,,1,0,0,1,Calculate part in proportion with fractions,8
35155,46800,1T4w47X,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-088,1,EquationAnswer,49:17.0,49:18.0,49:18.0,49:18.0,1,1,,1,0,0,1,Calculate part in proportion with fractions,9
43871,57867,2JcB729,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,26:52.0,26:56.0,26:56.0,26:56.0,4,4,,1,0,0,1,Calculate part in proportion with fractions,1
43913,57909,2JcB729,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-161,1,EquationAnswer,02:21.0,02:32.0,02:32.0,02:32.0,11,11,,1,0,0,1,Calculate part in proportion with fractions,2
43938,57934,2JcB729,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-111,1,EquationAnswer,06:50.0,07:01.0,07:01.0,07:01.0,11,11,,1,0,0,1,Calculate part in proportion with fractions,3
43951,57947,2JcB729,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-012,1,EquationAnswer,09:02.0,09:13.0,09:13.0,09:13.0,11,11,,1,0,0,1,Calculate part in proportion with fractions,4
43990,57986,2JcB729,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-089,1,EquationAnswer,14:51.0,14:54.0,15:07.0,15:07.0,16,,16,0,1,0,1,Calculate part in proportion with fractions,5
44003,57999,2JcB729,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-120,1,EquationAnswer,16:24.0,16:27.0,16:27.0,16:27.0,3,3,,1,0,0,1,Calculate part in proportion with fractions,6
44027,58023,2JcB729,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-168,1,EquationAnswer,19:01.0,19:12.0,19:12.0,19:12.0,11,11,,1,0,0,1,Calculate part in proportion with fractions,7
47856,63091,A1MG2DB,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,57:46.0,58:47.0,58:47.0,58:47.0,61,61,,1,0,0,1,Calculate part in proportion with fractions,1
47880,63115,A1MG2DB,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-102,1,EquationAnswer,02:39.0,03:18.0,03:18.0,03:18.0,39,39,,1,0,0,1,Calculate part in proportion with fractions,2
47904,63139,A1MG2DB,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-034,1,EquationAnswer,07:04.0,07:05.0,07:05.0,07:05.0,1,1,,1,0,0,1,Calculate part in proportion with fractions,3
47928,63163,A1MG2DB,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-105,1,EquationAnswer,11:37.0,11:38.0,11:38.0,11:38.0,1,1,,1,0,0,1,Calculate part in proportion with fractions,4
47952,63187,A1MG2DB,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-033,1,EquationAnswer,13:11.0,13:13.0,13:13.0,13:13.0,2,2,,1,0,0,1,Calculate part in proportion with fractions,5
47975,63210,A1MG2DB,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-181,1,EquationAnswer,14:45.0,14:55.0,14:55.0,14:55.0,10,10,,1,0,0,1,Calculate part in proportion with fractions,6
48013,63248,A1MG2DB,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-042,1,EquationAnswer,17:56.0,17:58.0,18:03.0,18:03.0,4,,4,0,1,0,1,Calculate part in proportion with fractions,7
48025,63260,A1MG2DB,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-002,1,EquationAnswer,18:52.0,18:55.0,18:55.0,18:55.0,3,3,,1,0,0,1,Calculate part in proportion with fractions,8
48037,63272,A1MG2DB,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-100,1,EquationAnswer,19:49.0,19:54.0,19:54.0,19:54.0,5,5,,1,0,0,1,Calculate part in proportion with fractions,9
49932,66030,Ahip2F0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,36:44.0,36:56.0,36:56.0,36:56.0,12,12,,1,0,0,1,Calculate part in proportion with fractions,1
49970,66068,Ahip2F0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-077,1,EquationAnswer,45:03.0,45:11.0,45:11.0,45:11.0,8,8,,1,0,0,1,Calculate part in proportion with fractions,2
49996,66094,Ahip2F0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-089,1,EquationAnswer,50:28.0,50:35.0,50:35.0,50:35.0,7,7,,1,0,0,1,Calculate part in proportion with fractions,3
50020,66118,Ahip2F0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-046,1,EquationAnswer,53:18.0,53:34.0,53:34.0,53:34.0,16,16,,1,0,0,1,Calculate part in proportion with fractions,4
50044,66142,Ahip2F0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-098,1,EquationAnswer,44:43.0,44:49.0,44:49.0,44:49.0,6,6,,1,0,0,1,Calculate part in proportion with fractions,5
50070,66168,Ahip2F0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-015,1,EquationAnswer,46:12.0,46:22.0,46:22.0,46:22.0,10,10,,1,0,0,1,Calculate part in proportion with fractions,6
53407,70854,dIUTKe8,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,19:22.0,19:25.0,19:58.0,19:58.0,36,,36,0,2,0,1,Calculate part in proportion with fractions,1
53420,70867,dIUTKe8,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-126,1,EquationAnswer,26:39.0,26:57.0,26:57.0,26:57.0,18,18,,1,0,0,1,Calculate part in proportion with fractions,2
53456,70903,dIUTKe8,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-004,1,EquationAnswer,38:48.0,39:02.0,39:02.0,39:02.0,14,14,,1,0,0,1,Calculate part in proportion with fractions,3
53482,70929,dIUTKe8,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-087,1,EquationAnswer,44:30.0,44:49.0,44:49.0,44:49.0,19,19,,1,0,0,1,Calculate part in proportion with fractions,4
56238,74413,etcr9s4,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,21:58.0,22:02.0,22:02.0,22:02.0,4,4,,1,0,0,1,Calculate part in proportion with fractions,1
56276,74451,etcr9s4,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-111,1,EquationAnswer,40:30.0,40:34.0,42:16.0,42:16.0,106,,106,0,4,1,1,Calculate part in proportion with fractions,2
56288,74463,etcr9s4,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-150,1,EquationAnswer,44:55.0,44:57.0,45:16.0,45:16.0,9,,9,0,1,0,1,Calculate part in proportion with fractions,3
56300,74475,etcr9s4,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-124,1,EquationAnswer,46:09.0,46:15.0,46:15.0,46:15.0,6,6,,1,0,0,1,Calculate part in proportion with fractions,4
56336,74511,etcr9s4,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-172,1,EquationAnswer,53:25.0,53:30.0,53:30.0,53:30.0,5,5,,1,0,0,1,Calculate part in proportion with fractions,5
56374,74549,etcr9s4,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-094,1,EquationAnswer,53:11.0,53:15.0,53:15.0,53:15.0,4,4,,1,0,0,1,Calculate part in proportion with fractions,6
56398,74573,etcr9s4,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-011,1,EquationAnswer,56:13.0,56:16.0,56:16.0,56:16.0,3,3,,1,0,0,1,Calculate part in proportion with fractions,7
56410,74585,etcr9s4,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-165,1,EquationAnswer,57:48.0,57:50.0,57:50.0,57:50.0,2,2,,1,0,0,1,Calculate part in proportion with fractions,8
56422,74597,etcr9s4,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-063,1,EquationAnswer,58:33.0,58:36.0,58:36.0,58:36.0,3,3,,1,0,0,1,Calculate part in proportion with fractions,9
61194,81258,H9R2j01,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,25:54.0,26:28.0,28:54.0,28:54.0,49,,49,0,1,0,1,Calculate part in proportion with fractions,1
61206,81270,H9R2j01,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-172,1,EquationAnswer,30:09.0,30:12.0,30:24.0,30:24.0,15,,15,0,2,0,1,Calculate part in proportion with fractions,2
61242,81306,H9R2j01,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-095,1,EquationAnswer,41:22.0,41:34.0,41:34.0,41:34.0,12,12,,1,0,0,1,Calculate part in proportion with fractions,3
61266,81330,H9R2j01,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-040,1,EquationAnswer,44:19.0,44:22.0,44:22.0,44:22.0,3,3,,1,0,0,1,Calculate part in proportion with fractions,4
63774,84938,i50VGo0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,44:29.0,44:35.0,44:35.0,44:35.0,6,6,,1,0,0,1,Calculate part in proportion with fractions,1
63815,84979,i50VGo0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-134,2,EquationAnswer,47:57.0,48:03.0,48:56.0,48:56.0,35,,35,0,1,0,1,Calculate part in proportion with fractions,2
63829,84993,i50VGo0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-012,1,EquationAnswer,53:54.0,54:07.0,54:07.0,54:07.0,13,13,,1,0,0,1,Calculate part in proportion with fractions,3
63841,85005,i50VGo0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-092,1,EquationAnswer,56:07.0,56:21.0,56:21.0,56:21.0,14,14,,1,0,0,1,Calculate part in proportion with fractions,4
63861,85025,i50VGo0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-150,1,EquationAnswer,15:38.0,16:27.0,16:39.0,16:39.0,61,,61,0,1,0,1,Calculate part in proportion with fractions,5
